,Pruned %,Random Forest MSE,Random Forest RMSE,Random Forest R2,Random Forest OOS MSE,Random Forest OOS RMSE,Random Forest OOS R2,Linear MSE,Linear RMSE,Linear R2,Linear OOS MSE,Linear OOS RMSE,Linear OOS R2,SVR MSE,SVR RMSE,SVR R2,SVR OOS MSE,SVR OOS RMSE,SVR OOS R2
0,0.72,0.21,0.45,0.18,0.22,0.47,0.17,0.23,0.48,0.09,0.24,0.49,0.11,0.23,0.48,0.08,0.25,0.5,0.06
1,1.6,0.2,0.45,0.17,0.2,0.45,0.19,0.22,0.47,0.1,0.22,0.47,0.1,0.22,0.47,0.08,0.22,0.47,0.09
2,2.43,0.19,0.44,0.18,0.21,0.45,0.12,0.21,0.46,0.1,0.21,0.46,0.1,0.22,0.46,0.09,0.21,0.46,0.09
3,3.23,0.19,0.43,0.18,0.21,0.46,0.17,0.2,0.45,0.11,0.23,0.48,0.11,0.21,0.46,0.09,0.23,0.48,0.08
4,4.02,0.19,0.43,0.18,0.18,0.42,0.22,0.2,0.45,0.11,0.2,0.45,0.12,0.21,0.46,0.09,0.21,0.46,0.09
5,4.68,0.18,0.42,0.21,0.2,0.45,0.17,0.2,0.44,0.11,0.22,0.46,0.12,0.2,0.45,0.09,0.22,0.47,0.09
6,5.34,0.18,0.42,0.2,0.2,0.45,0.17,0.2,0.44,0.12,0.21,0.46,0.13,0.2,0.45,0.09,0.22,0.47,0.09
7,5.95,0.18,0.42,0.19,0.17,0.41,0.24,0.2,0.44,0.12,0.2,0.44,0.12,0.2,0.45,0.1,0.2,0.45,0.09
8,6.36,0.18,0.42,0.19,0.16,0.4,0.23,0.2,0.44,0.12,0.18,0.43,0.11,0.2,0.45,0.1,0.19,0.43,0.1
9,6.86,0.18,0.42,0.18,0.17,0.41,0.22,0.19,0.44,0.12,0.19,0.43,0.13,0.2,0.45,0.1,0.19,0.44,0.11
10,7.27,0.18,0.42,0.2,0.16,0.4,0.21,0.19,0.44,0.12,0.18,0.42,0.13,0.2,0.45,0.1,0.18,0.43,0.11
11,7.84,0.17,0.42,0.19,0.17,0.42,0.21,0.19,0.43,0.12,0.19,0.44,0.13,0.19,0.44,0.1,0.2,0.44,0.11
12,8.23,0.17,0.42,0.18,0.17,0.41,0.24,0.19,0.43,0.12,0.19,0.43,0.13,0.19,0.44,0.1,0.19,0.44,0.12
13,8.55,0.17,0.41,0.2,0.16,0.4,0.24,0.19,0.43,0.12,0.18,0.42,0.15,0.19,0.44,0.1,0.19,0.43,0.13
14,8.83,0.17,0.41,0.19,0.18,0.42,0.22,0.18,0.43,0.12,0.19,0.44,0.14,0.19,0.43,0.1,0.2,0.45,0.12
15,9.16,0.16,0.41,0.21,0.17,0.41,0.23,0.18,0.43,0.12,0.19,0.44,0.13,0.19,0.43,0.1,0.19,0.44,0.13
16,9.55,0.16,0.41,0.19,0.17,0.41,0.26,0.18,0.42,0.12,0.2,0.45,0.13,0.18,0.43,0.11,0.21,0.46,0.09
17,9.81,0.16,0.4,0.22,0.19,0.43,0.2,0.17,0.42,0.13,0.21,0.46,0.12,0.18,0.42,0.12,0.21,0.46,0.09
18,10.17,0.17,0.41,0.2,0.16,0.4,0.19,0.18,0.42,0.13,0.18,0.42,0.11,0.18,0.43,0.12,0.18,0.42,0.12
19,10.47,0.17,0.41,0.2,0.15,0.39,0.21,0.18,0.42,0.13,0.17,0.41,0.13,0.18,0.43,0.12,0.17,0.42,0.12
